# Photoabsorption spectrum from real-time propagation
# GPAW version: 22.8.0
# Total time = 20.0000 fs, Time steps = [0.0000, 8.0000] as
# Kick = [0, 0, 0.001]
# Gaussian folding, Width = 0.2123 eV = 0.007802 Hartree <=> FWHM = 0.499928 eV
#    om (eV)                  S_x                  S_y                  S_z
   16.950000    -0.0000000000e+00    -0.0000000000e+00     8.9360577389e-01
   17.000000    -0.0000000000e+00    -0.0000000000e+00     9.0566668262e-01
   17.050000    -0.0000000000e+00    -0.0000000000e+00     9.1051945886e-01
   17.100000    -0.0000000000e+00    -0.0000000000e+00     9.1127815885e-01
   17.150000    -0.0000000000e+00    -0.0000000000e+00     9.1156444990e-01
   17.200000    -0.0000000000e+00    -0.0000000000e+00     9.1437440421e-01
   17.250000    -0.0000000000e+00    -0.0000000000e+00     9.2106888095e-01
   17.300000    -0.0000000000e+00    -0.0000000000e+00     9.3086723025e-01
   17.350000    -0.0000000000e+00    -0.0000000000e+00     9.4107371735e-01
   17.400000    -0.0000000000e+00    -0.0000000000e+00     9.4798149050e-01
   17.450000    -0.0000000000e+00    -0.0000000000e+00     9.4810720622e-01
   17.500000    -0.0000000000e+00    -0.0000000000e+00     9.3926074341e-01
   17.550000    -0.0000000000e+00    -0.0000000000e+00     9.2103506680e-01
